	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11
ZNF32	10.4430489637712	10.8638201684389	10.8645191559659	10.6117141164466	10.3577847075638	10.5985300415734	10.6993689428702	11.154296859968	9.99031652175605	10.7017443140112	10.3996244511494
LDB2	12.7116749249744	12.4429945167987	11.4335602192253	12.0148630955834	12.1600516975217	12.2056882884088	10.9589019201543	11.5740108464564	12.0992783311434	12.1825898698067	11.4538901686596
ZNF778	9.59795632601969	9.95204735145064	6.69323632379664	7.10154959668703	10.5270858408706	9.49843037464515	5.9470485144105	8.56763005303464	10.2031918798245	7.24982674903119	10.8624036504693
ZFAND4	9.88151612918488	10.3486279460219	9.91650178300596	9.68461755341841	10.4236225209266	10.0819819265586	10.5004090177458	9.81609598598098	10.0023390500053	10.0092869809845	10.6181495263294
MSRB3	11.9276968680174	13.6499769427456	13.2308166937834	13.8453503549868	10.0269409213396	11.1250921666467	12.7402161046361	12.6942796131348	12.5416909542061	13.5917108658106	11.0337150018414
VCPIP1	12.9074275356185	12.9852836809246	12.8464233472698	13.2649912752574	13.1250245398596	13.3762609644033	12.5239333967592	12.5618631098158	12.4612263581132	12.8424973448876	11.8774826784248
DRAP1	10.7078992226338	10.7084434755657	10.4526449673628	10.8669172774438	9.9194824999554	10.877592739922	10.6532475018403	10.6302025244663	10.647870427044	10.8105417035057	9.48317852816995
LONRF3	10.3296900194715	8.15686714333913	9.1370227615571	9.12129353198545	9.22252487795338	8.64704486984205	8.2268169360041	8.7409616559202	9.32785445310038	9.50424802456028	8.53332463615396
CRLF3	9.06744160932091	9.17094232855086	10.6259765702483	10.6836693476394	10.0269409213396	9.15626480817761	10.6461558990345	9.82468348181771	8.80369523144143	9.01536149539417	11.432428193745
RNPEP	10.9367582394714	10.6392599104197	11.4002444209496	11.162032782287	10.9851553555129	11.1656199732293	11.927987780496	11.0372574387778	11.2817425282461	11.2778906674491	11.563254842219
EID2	8.68041848621166	8.82429180425226	8.94501959465572	8.99856128325426	8.31409211753645	9.53188567183063	8.76426243866883	8.91189447790011	9.05523399843739	8.65970254319426	8.40208010287571
DMRTA1	9.14097064474288	8.75122834206254	8.43264509389117	8.65589673017011	8.7951036542187	8.46850673809503	7.20526590394652	7.20943841416051	9.38407046266693	8.72045657427335	6.33169077498431
TMEM80	9.00972611146462	9.72284654069272	9.21573473757114	9.2902844479041	9.23887287204086	8.46850673809503	8.82518528103745	7.93587334083455	9.05523399843739	8.69039934041717	10.3597546934022
BET1L	11.291853198294	10.8198321560616	10.8508829954605	11.3446860885723	11.1584412470763	10.9961944334644	10.831841776954	10.8647902427731	11.6188802679215	11.1233587476933	10.7002595949905
RPS27	14.360079024094	14.2768254163028	15.6534837415875	14.7878846803532	15.0897596101152	14.9502457566605	15.470971099151	15.3737968570984	13.9532488175042	14.1896577938602	14.0323286519116
IMP3	10.3530855868835	10.6791986557899	10.5804311180642	10.5233162614189	10.0127503639045	10.5215139877582	10.9416282386263	10.5392143708706	10.0950742629692	10.0805456641543	9.77605494553267
PFAS	9.3257536049123	9.90229431625354	9.95779819937703	10.970068381423	10.3726771757105	10.4401535420458	10.6147136044619	10.2891656066312	10.2940208580245	10.4288827622256	11.7883092077301
HYI	10.024372887429	9.76056620664188	10.2638639084454	10.0000855253833	10.1997395580371	9.44674621935622	10.0345113556608	9.66169837739555	10.956728453485	10.2854506587619	10.4808572162598
C17orf62	10.801575612704	10.3973311375976	10.6163371465864	10.8433350470991	10.3465135952288	10.8313167667594	11.0861905335562	11.0845035639136	10.8207687448004	11.0601229464009	11.3355499704399
PHC1P1	8.96992510340665	8.96017523233404	8.29440905169905	8.94891526497294	9.00081733440852	8.70685426507736	8.42627907561684	8.60798779065078	9.10067696919856	8.72045657427335	9.9804848875747
RP1-278E11.3	10.5749253573644	10.2723443607591	10.3936760419377	10.5526957938963	10.0595192904509	9.96438569523376	10.3954209090226	10.6736314068915	9.99031652175605	10.2753618411383	9.54670366595516
MAB21L1	9.12293672191261	9.37925956467558	8.86044182388536	8.97395181591026	9.73586445084402	8.51943067325771	7.3344110552465	8.62775104547221	9.34683755646796	8.9660337830306	9.52883724516165
YOD1	10.3059087935154	10.6085631131968	10.6701280608175	10.7914650490143	11.2479878587446	11.1441469064454	11.0177813002349	10.7111670536599	10.1392982632259	10.4736905575843	10.6011514499775
PNMAL1	6.66803476175583	7.34242279649521	8.43264509389117	7.72019522366448	9.47110123109348	8.64704486984205	8.0174378423019	8.32289646394379	8.77595024095852	8.80704425926944	8.90976689012023
RGPD6	12.3751558449886	11.7299945076233	12.008424272447	12.0306099233581	12.7899122306936	11.8505029332721	11.32860876918	11.8532946039352	12.4459016839971	11.9550147820704	12.9426101468072
FAM133CP	7.642943780793	7.43863811175451	7.31838791463349	6.90728077626498	7.53538198242574	7.23454956512566	6.34758644399423	8.66648343996093	7.97209276313714	6.87543123424969	10.1768223478449
TOB2	13.2555859856566	13.3212811611164	12.3618208780331	13.6833136097407	12.0014163358873	13.1626195665169	12.2320067587991	11.6604996278119	13.5707446184064	13.1697116044584	11.8739488247512
SEPT5	9.19375805910231	9.02360061247567	9.24938512701306	9.71463569832258	10.3351537330643	9.62007782224178	9.53872793134624	9.26728248873279	10.4601371205825	9.28041506886461	11.523208306921
EIF4ENIF1	10.8948621544326	10.9315250275773	10.9411638372402	11.0531785070608	11.1302372879053	11.2127967665974	10.479614837678	10.3676579149505	11.3254639056754	10.878766946813	11.3559597897475
BRI3BP	10.1364832537506	10.2191514215935	11.0212646182204	10.318658159312	10.1997395580371	10.6413085002929	11.1306938198052	10.48064675144	10.6401964991585	10.5758709523908	10.4094220782169
